fid2,ID_LINE,ID_POINT,DISTANCE,OVERLAND,X,Y,Z
1,0,1,0,0,145039.38291,2661156.7489,-44.989997864
2,0,2,0.5385905394,0.538683406,145039.58311,2661156.2489,-45
3,0,3,1.0771810788,1.0776451741,145039.78331,2661155.7489,-45.020000458
4,0,4,1.6157716182,1.6162357135,145039.98351,2661155.2489,-45.020000458
5,0,5,2.1543621576,2.1571420758,145040.18371,2661154.7489,-45.069999695
6,0,6,2.6929526971,2.695825411,145040.38391,2661154.2489,-45.079998016
7,0,7,3.2315432365,3.2367317734,145040.58411,2661153.7489,-45.129997253
8,0,8,3.7701337759,3.7776384884,145040.78431,2661153.2489,-45.180000305
9,0,9,4.3087243153,4.3170638269,145040.98451,2661152.7489,-45.209999084
10,0,10,4.8473148547,4.8579701893,145041.18471,2661152.2489,-45.259998322
11,0,11,5.3859053941,5.3966535245,145041.3849,2661151.7489,-45.25
12,0,12,5.9244959335,5.9375598868,145041.5851,2661151.2489,-45.299999237
13,0,13,6.4630864729,6.4765216549,145041.7853,2661150.7489,-45.319999695
14,0,14,7.0016770123,7.0152049901,145041.9855,2661150.2489,-45.329998016
15,0,15,7.5402675517,7.5546305408,145042.1857,2661149.7489,-45.36000061
16,0,16,8.0788580912,8.0947041814,145042.3859,2661149.2489,-45.399997711
17,0,17,8.6174486306,8.6356108963,145042.5861,2661148.7489,-45.450000763
18,0,18,9.15603917,9.1742942315,145042.7863,2661148.2489,-45.459999084
19,0,19,9.6946297094,9.7132559996,145042.9865,2661147.7489,-45.479999542
20,0,20,10.233220249,10.253329923,145043.1867,2661147.2489,-45.439998627
21,0,21,10.771810788,10.795252365,145043.3869,2661146.7489,-45.379997253
22,0,22,11.310401328,11.338372726,145043.5871,2661146.2489,-45.309997559
23,0,23,11.848991867,12.033842755,145043.7873,2661145.7489,-44.869998932
24,0,24,12.387582406,12.572433294,145043.9875,2661145.2489,-44.869998932
25,0,25,12.926172946,13.111116629,145044.1877,2661144.7489,-44.86000061
26,0,26,13.464763485,13.650078256,145044.38789,2661144.2489,-44.879997253
27,0,27,14.003354025,14.189039883,145044.58809,2661143.7489,-44.86000061
28,0,28,14.541944564,14.727723218,145044.78829,2661143.2489,-44.869998932
29,0,29,15.080535103,15.266406553,145044.98849,2661142.7489,-44.879997253
30,0,30,15.619125643,15.805368321,145045.18869,2661142.2489,-44.899997711
31,0,31,16.157716182,16.344051727,145045.38889,2661141.7489,-44.909999847
32,0,32,16.696306722,16.884958089,145045.58909,2661141.2489,-44.959999084
33,0,33,17.234897261,17.423919857,145045.78929,2661140.7489,-44.979999542
34,0,34,17.773487801,17.962881625,145045.98949,2661140.2489,-45
35,0,35,18.31207834,18.502955266,145046.18969,2661139.7489,-45.039997101
36,0,36,18.850668879,19.043029189,145046.38989,2661139.2489,-45.079998016
37,0,37,19.389259419,19.583103112,145046.59009,2661138.7489,-45.119998932
38,0,38,19.927849958,20.12206488,145046.79029,2661138.2489,-45.13999939
39,0,39,20.466440498,20.660748215,145046.99049,2661137.7489,-45.149997711
40,0,40,21.005031037,21.199709983,145047.19068,2661137.2489,-45.129997253
41,0,41,21.543621576,21.739135322,145047.39088,2661136.7489,-45.099998474
42,0,42,22.082212116,22.277725861,145047.59108,2661136.2489,-45.099998474
43,0,43,22.620802655,22.816409197,145047.79128,2661135.7489,-45.090000153
44,0,44,23.159393195,23.355370965,145047.99148,2661135.2489,-45.11000061
45,0,45,23.697983734,23.894332591,145048.19168,2661134.7489,-45.129997253
46,0,46,24.236574273,24.433015997,145048.39188,2661134.2489,-45.13999939
47,0,47,24.775164813,24.97392236,145048.59208,2661133.7489,-45.189998627
48,0,48,25.313755352,25.512605765,145048.79228,2661133.2489,-45.200000763
49,0,49,25.852345892,26.051196305,145048.99248,2661132.7489,-45.200000763
50,0,50,26.390936431,26.592102667,145049.19268,2661132.2489,-45.25
51,0,51,26.929526971,27.130786002,145049.39288,2661131.7489,-45.259998322
52,0,52,27.46811751,27.670859926,145049.59308,2661131.2489,-45.299999237
53,0,53,28.006708049,28.209821694,145049.79328,2661130.7489,-45.319999695
54,0,54,28.545298589,28.749247032,145049.99348,2661130.2489,-45.349998474
55,0,55,29.083889128,29.287930367,145050.19367,2661129.7489,-45.340000153
56,0,56,29.622479668,29.831050728,145050.39387,2661129.2489,-45.270000458
57,0,57,30.161070207,30.438077269,145050.59407,2661128.7489,-44.989997864
58,0,58,30.699660746,30.984135688,145050.79427,2661128.2489,-44.899997711
59,0,59,31.238251286,31.524209329,145050.99447,2661127.7489,-44.86000061
60,0,60,31.776841825,32.064282969,145051.19467,2661127.2489,-44.899997711
61,0,61,32.315432365,32.60370852,145051.39487,2661126.7489,-44.930000305
62,0,62,32.854022904,33.14563054,145051.59507,2661126.2489,-44.989997864
63,0,63,33.392613443,33.686536903,145051.79527,2661125.7489,-45.039997101
64,0,64,33.931203983,34.225962453,145051.99547,2661125.2489,-45.069999695
65,0,65,34.469794522,34.764552993,145052.19567,2661124.7489,-45.069999695
66,0,66,35.008385062,35.305459355,145052.39587,2661124.2489,-45.020000458
67,0,67,35.546975601,35.844142761,145052.59607,2661123.7489,-45.009998322
68,0,68,36.085566141,36.387263122,145052.79627,2661123.2489,-44.939998627
69,0,69,36.62415668,36.949116947,145052.99647,2661122.7489,-44.779998779
70,0,70,37.162747219,37.490023309,145053.19666,2661122.2489,-44.729999542
71,0,71,37.701337759,38.028613849,145053.39686,2661121.7489,-44.729999542
72,0,72,38.239928298,38.567204388,145053.59706,2661121.2489,-44.729999542
73,0,73,38.778518838,39.106629727,145053.79726,2661120.7489,-44.759998322
74,0,74,39.317109377,39.646055065,145053.99746,2661120.2489,-44.789997101
75,0,75,39.855699916,40.185016833,145054.19766,2661119.7489,-44.809997559
76,0,76,40.394290456,40.726939276,145054.39786,2661119.2489,-44.869998932
77,0,77,40.932880995,41.266364615,145054.59806,2661118.7489,-44.899997711
78,0,78,41.471471535,41.806438538,145054.79826,2661118.2489,-44.939998627
79,0,79,42.010062074,42.345121944,145054.99846,2661117.7489,-44.950000763
80,0,80,42.548652613,42.886028306,145055.19866,2661117.2489,-45
81,0,81,43.087243153,43.425453645,145055.39886,2661116.7489,-45.029998779
82,0,82,43.625833692,43.964878983,145055.59906,2661116.2489,-45.059997559
83,0,83,44.164424232,44.504304534,145055.79926,2661115.7489,-45.090000153
84,0,84,44.703014771,45.042987869,145055.99946,2661115.2489,-45.099998474
85,0,85,45.24160531,45.581578408,145056.19965,2661114.7489,-45.099998474
86,0,86,45.78019585,46.121003747,145056.39985,2661114.2489,-45.069999695
87,0,87,46.318786389,46.665503574,145056.60005,2661113.7489,-44.989997864
88,0,88,46.857376929,47.204094114,145056.80025,2661113.2489,-44.989997864
89,0,89,47.395967468,47.745000476,145057.00045,2661112.7489,-45.039997101
90,0,90,47.934558008,48.285907191,145057.20065,2661112.2489,-45.090000153
91,0,91,48.473148547,48.825980832,145057.40085,2661111.7489,-45.129997253
92,0,92,49.011739086,49.369101684,145057.60105,2661111.2489,-45.200000763
93,0,93,49.550329626,49.908527023,145057.80125,2661110.7489,-45.229999542
94,0,94,50.088920165,50.450449043,145058.00145,2661110.2489,-45.289997101
95,0,95,50.627510705,50.990522966,145058.20165,2661109.7489,-45.329998016
96,0,96,51.166101244,51.531429329,145058.40185,2661109.2489,-45.379997253
97,0,97,51.704691783,52.074550181,145058.60205,2661108.7489,-45.450000763
98,0,98,52.243282323,52.614623822,145058.80225,2661108.2489,-45.489997864
99,0,99,52.781872862,53.155530184,145059.00244,2661107.7489,-45.539997101
100,0,100,53.320463402,53.696436899,145059.20264,2661107.2489,-45.590000153
101,0,101,53.859053941,54.237343262,145059.40284,2661106.7489,-45.63999939
102,0,102,54.39764448,54.776026668,145059.60304,2661106.2489,-45.629997253
103,0,103,54.93623502,55.314617207,145059.80324,2661105.7489,-45.629997253
104,0,104,55.474825559,55.856539227,145060.00344,2661105.2489,-45.569999695
105,0,105,56.013416099,56.395500995,145060.20364,2661104.7489,-45.590000153
106,0,106,56.552006638,56.934184331,145060.40384,2661104.2489,-45.599998474
107,0,107,57.090597178,57.475090693,145060.60404,2661103.7489,-45.549999237
108,0,108,57.629187717,58.014052461,145060.80424,2661103.2489,-45.569999695
109,0,109,58.167778256,58.555974904,145061.00444,2661102.7489,-45.509998322
110,0,110,58.706368796,59.094658239,145061.20464,2661102.2489,-45.5
111,0,111,59.244959335,59.63408379,145061.40484,2661101.7489,-45.469997406
112,0,112,59.783549875,60.177204151,145061.60504,2661101.2489,-45.399997711
113,0,113,60.322140414,60.719126171,145061.80524,2661100.7489,-45.340000153
114,0,114,60.860730953,61.259200094,145062.00543,2661100.2489,-45.299999237
115,0,115,61.399321493,61.798161862,145062.20563,2661099.7489,-45.279998779
116,0,116,61.937912032,62.336845197,145062.40583,2661099.2489,-45.270000458
117,0,117,62.476502572,62.875435737,145062.60603,2661098.7489,-45.270000458
118,0,118,63.015093111,63.414026276,145062.80623,2661098.2489,-45.270000458
119,0,119,63.55368365,63.953451615,145063.00643,2661097.7489,-45.299999237
120,0,120,64.09227419,64.49213495,145063.20663,2661097.2489,-45.309997559
121,0,121,64.630864729,65.030725489,145063.40683,2661096.7489,-45.309997559
122,0,122,65.169455269,65.569687257,145063.60703,2661096.2489,-45.329998016
123,0,123,65.708045808,66.108277797,145063.80723,2661095.7489,-45.329998016
124,0,124,66.246636347,66.646868336,145064.00743,2661095.2489,-45.329998016
125,0,125,66.785226887,67.185551742,145064.20763,2661094.7489,-45.340000153
126,0,126,67.323817426,67.724142282,145064.40783,2661094.2489,-45.340000153
127,0,127,67.862407966,68.262732821,145064.60803,2661093.7489,-45.340000153
